"source" "type" "score" "phase" "gene_id" "gene_type" "gene_name" "level" "hgnc_id" "havana_gene" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000196616.14" "HAVANA" "gene" NA NA "ENSG00000196616.14" "protein_coding" "ADH1B" "2" "HGNC:250" "OTTHUMG00000161413.4" 4.42358173343109 3.99201199127681 23.1650842921705 3.85931714524158e-77 9.15044095136778e-73 162.954827836607
"ENSG00000112936.19" "HAVANA" "gene" NA NA "ENSG00000112936.19" "protein_coding" "C7" "1" "HGNC:1346" "OTTHUMG00000150340.4" 2.92261745350441 5.49220240935798 16.2432637176951 2.06619057550136e-46 2.44946892725686e-42 94.5710799092551
"ENSG00000134917.10" "HAVANA" "gene" NA NA "ENSG00000134917.10" "protein_coding" "ADAMTS8" "2" "HGNC:224" "OTTHUMG00000165656.3" 2.46914875251557 1.26852806001596 15.2587582882502 3.70344541417346e-42 2.92695635900176e-38 84.1285605865177
"ENSG00000165197.5" "HAVANA" "gene" NA NA "ENSG00000165197.5" "protein_coding" "VEGFD" "2" "HGNC:3708" "OTTHUMG00000021175.2" 2.79181717700453 0.86329724796902 12.8924499921901 2.76024837684975e-32 1.63613722537769e-28 61.9490933692573
"ENSG00000241644.2" "HAVANA" "gene" NA NA "ENSG00000241644.2" "protein_coding" "INMT" "2" "HGNC:6069" "OTTHUMG00000167163.2" 1.87097265786145 3.8498160982243 12.8629305072289 3.63151413290112e-32 1.72206400182171e-28 62.1880514523622
"ENSG00000101938.15" "HAVANA" "gene" NA NA "ENSG00000101938.15" "protein_coding" "CHRDL1" "2" "HGNC:29861" "OTTHUMG00000022199.4" 2.35126478500565 3.36317885056665 12.5772157803267 5.0949061753337e-31 2.01333709028603e-27 59.5299042449249
"ENSG00000213088.12" "HAVANA" "gene" NA NA "ENSG00000213088.12" "protein_coding" "ACKR1" "2" "HGNC:4035" "OTTHUMG00000037182.8" 2.43536704239034 2.78726466785547 12.1920340478509 1.71900863572905e-29 5.82252782187653e-26 56.0420460331355
"ENSG00000141338.14" "HAVANA" "gene" NA NA "ENSG00000141338.14" "protein_coding" "ABCA8" "2" "HGNC:38" "OTTHUMG00000180192.5" 1.75903520090334 2.41659142694606 12.0674864277014 5.3051951621972e-29 1.5723272161962e-25 54.9175896845014
"ENSG00000018625.15" "HAVANA" "gene" NA NA "ENSG00000018625.15" "protein_coding" "ATP1A2" "2" "HGNC:800" "OTTHUMG00000024080.4" 2.08814832527498 0.3451999709876 12.0226902797145 7.94607854508847e-29 2.09335024782275e-25 54.2394186434102
"ENSG00000152583.12" "HAVANA" "gene" NA NA "ENSG00000152583.12" "protein_coding" "SPARCL1" "1" "HGNC:11220" "OTTHUMG00000130605.5" 1.0568367870955 7.11395363074989 11.8904956537995 2.6067253598149e-28 6.18054582812114e-25 53.5053397936295
"ENSG00000122852.15" "HAVANA" "gene" NA NA "ENSG00000122852.15" "protein_coding" "SFTPA1" "2" "HGNC:10798" "OTTHUMG00000018565.6" 3.89817559213037 9.12134931106599 11.6882265299294 1.58546069666765e-27 3.41738846527183e-24 51.7264869226012
"ENSG00000185303.17" "HAVANA" "gene" NA NA "ENSG00000185303.17" "protein_coding" "SFTPA2" "2" "HGNC:10799" "OTTHUMG00000018566.4" 3.77243862645284 9.56130123360624 11.6306521432064 2.64312128711428e-27 5.2223671431233e-24 51.2210577247397
"ENSG00000111339.12" "HAVANA" "gene" NA NA "ENSG00000111339.12" "protein_coding" "ART4" "2" "HGNC:726" "OTTHUMG00000168738.3" 1.79880363208753 -0.421244842800111 11.5170283405848 7.22018239835177e-27 1.31685018973016e-23 49.7785079176451
"ENSG00000118526.7" "HAVANA" "gene" NA NA "ENSG00000118526.7" "protein_coding" "TCF21" "2" "HGNC:11632" "OTTHUMG00000015608.2" 1.61850880323631 1.03274790036546 11.1688424581496 1.52131794830029e-25 2.42539371500901e-22 47.0310813539033
"ENSG00000168484.12" "HAVANA" "gene" NA NA "ENSG00000168484.12" "protein_coding" "SFTPC" "1" "HGNC:10802" "OTTHUMG00000163775.2" 5.65797977648874 6.27539350609088 11.1678554859477 1.53441188212295e-25 2.42539371500901e-22 47.2107839754849
"ENSG00000111341.10" "HAVANA" "gene" NA NA "ENSG00000111341.10" "protein_coding" "MGP" "1" "HGNC:7060" "OTTHUMG00000168740.2" 1.24920174519541 6.73957207805541 10.8395556437301 2.5953587907402e-24 3.84599730802814e-21 44.4152105037484
"ENSG00000174175.17" "HAVANA" "gene" NA NA "ENSG00000174175.17" "protein_coding" "SELP" "2" "HGNC:10721" "OTTHUMG00000034685.10" 1.40311482896994 2.52807090974912 10.7900681881599 3.95927693776442e-24 5.52202683496438e-21 43.993954053992
"ENSG00000175899.15" "HAVANA" "gene" NA NA "ENSG00000175899.15" "protein_coding" "A2M" "2" "HGNC:7" "OTTHUMG00000150267.7" 1.02172662144094 9.67180375645519 10.7632205407283 4.97656611074722e-24 6.55524347143426e-21 43.777965849748
"ENSG00000136546.16" "HAVANA" "gene" NA NA "ENSG00000136546.16" "protein_coding" "SCN7A" "2" "HGNC:10594" "OTTHUMG00000154078.6" 1.84736950146895 3.37958687228879 10.7184896412046 7.27935784709249e-24 8.73799048718067e-21 43.4174364850753
"ENSG00000154175.18" "HAVANA" "gene" NA NA "ENSG00000154175.18" "protein_coding" "ABI3BP" "2" "HGNC:17265" "OTTHUMG00000159094.7" 1.47197744234416 4.31780954979922 10.7170208306974 7.37072162562688e-24 8.73799048718067e-21 43.4315104848138
"ENSG00000108381.11" "HAVANA" "gene" NA NA "ENSG00000108381.11" "protein_coding" "ASPA" "2" "HGNC:756" "OTTHUMG00000090655.5" 1.3735732432706 -0.326248494585725 10.5797167903259 2.35533926952958e-23 2.65929019431173e-20 42.0163622574728
"ENSG00000165072.10" "HAVANA" "gene" NA NA "ENSG00000165072.10" "protein_coding" "MAMDC2" "2" "HGNC:23673" "OTTHUMG00000019990.2" 1.77123637445679 2.33030230441069 10.4775561355579 5.5600523043954e-23 5.99222000623704e-20 41.3779533370887
"ENSG00000147655.12" "HAVANA" "gene" NA NA "ENSG00000147655.12" "protein_coding" "RSPO2" "1" "HGNC:28583" "OTTHUMG00000164893.4" 2.26880277623234 -0.926974460153537 10.4200057948333 9.0013817095232e-23 9.27925044925196e-20 40.5261097749441
"ENSG00000155511.18" "HAVANA" "gene" NA NA "ENSG00000155511.18" "protein_coding" "GRIA1" "1" "HGNC:4571" "OTTHUMG00000130148.7" 2.46135943981052 -0.776746373180379 10.3429661490246 1.71143418179846e-22 1.69075435210173e-19 39.9115930251122
"ENSG00000077943.8" "HAVANA" "gene" NA NA "ENSG00000077943.8" "protein_coding" "ITGA8" "2" "HGNC:6144" "OTTHUMG00000017733.2" 1.22251602877206 3.70294554606821 10.269129233021 3.16000316515538e-22 2.99581258011362e-19 39.7396238351126
"ENSG00000166482.12" "HAVANA" "gene" NA NA "ENSG00000166482.12" "protein_coding" "MFAP4" "2" "HGNC:7035" "OTTHUMG00000059585.6" 1.47291855011175 5.77882540038218 10.2636338976593 3.30723260013973e-22 2.99581258011362e-19 39.6605894774897
"ENSG00000225670.4" "HAVANA" "gene" NA NA "ENSG00000225670.4" "lncRNA" "CADM3-AS1" "2" "HGNC:40812" "OTTHUMG00000037178.4" 1.99626800623085 -2.10175310161866 10.2598867527451 3.41151158427109e-22 2.99581258011362e-19 39.0920315955177
"ENSG00000142945.13" "HAVANA" "gene" NA NA "ENSG00000142945.13" "protein_coding" "KIF2C" "2" "HGNC:6393" "OTTHUMG00000008416.7" -1.24619292855778 3.88740361252795 -10.1987272676368 5.65705900917341e-22 4.79031675383934e-19 39.1323817189091
